run,trial,step,rtt_ms,throughput_mbps,reward
cubic_baseline,1,4,153.991,9.56,7.946776663480965
cubic_baseline,1,5,161.108,9.56,7.885569119663378
cubic_baseline,1,6,166.034,9.56,7.84384130782932
cubic_baseline,1,7,169.57,9.56,7.814425034653814
cubic_baseline,1,8,171.765,9.49,7.7272336030732465
cubic_baseline,1,9,171.006,9.5,7.748762351262464
cubic_baseline,1,10,83.504,9.56,8.609863568387743
cubic_baseline,1,11,91.812,9.56,8.535497476293685
cubic_baseline,1,12,96.896,9.57,8.502127689244602
cubic_baseline,1,13,99.796,9.56,8.469633235658204
cubic_baseline,1,14,120.756,7.85,6.555306623621178
cubic_baseline,1,15,101.796,9.56,8.459961100055157
cubic_baseline,1,16,103.398,9.57,8.458470230812525
cubic_baseline,1,17,127.7,5.99,4.6389348713802185
cubic_baseline,1,18,109.039,9.56,8.399245681149802
cubic_baseline,1,19,111.681,9.56,8.376166293371778
cubic_baseline,1,20,114.2,9.56,8.353822463183802
cubic_baseline,1,21,136.307,8.11,6.685428973311721
cubic_baseline,1,22,119.752,9.57,8.313476854006042
cubic_baseline,1,23,122.575,9.56,8.277609271997772
cubic_baseline,1,24,129.062,9.56,8.214958686309608
cubic_baseline,1,25,139.361,9.57,8.124024610794075
cubic_baseline,1,26,154.933,9.56,7.960233311322847
cubic_baseline,1,27,172.208,9.56,7.78927447494549
cubic_baseline,1,28,191.969,9.56,7.593351098074268
cubic_baseline,1,29,217.119,9.56,7.3434349045432175
